Project Geographic District ,Project Building Identifier,Project School Name,Project Type ,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount,DSF Number(s)
26,Q162,P.S. 162 - QUEENS,DOE - RESOA,FY25 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,350000.00,0.00,DSF0001113054
26,Q172,J.H.S. 172 - QUEENS,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS,Scope,Complete,6/11/2019,10/25/2019,10/25/2019,151880,230068.00,230068.00,"DSF0000903136, DSF0000903137, DSF0000903138, DSF0000960585"
26,Q172,J.H.S. 172 - QUEENS,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS,Design,Complete,11/13/2019,6/15/2020,4/14/2020,759401,630135.00,619046.00,"DSF0000903136, DSF0000903137, DSF0000903138, DSF0000960585"
26,Q172,J.H.S. 172 - QUEENS,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS,Construction,In-Progress,8/16/2021,8/15/2023,,17086500,17896974.00,15794504.00,"DSF0000903136, DSF0000903137, DSF0000903138, DSF0000960585"
26,Q172,J.H.S. 172 - QUEENS,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS,"CM,F&E",In-Progress,8/16/2021,8/15/2023,,1063161,1082781.00,1059147.00,"DSF0000903136, DSF0000903137, DSF0000903138, DSF0000960585"
26,Q172,J.H.S. 172 - QUEENS,SCA Furniture & Equipment,RESO A MOBILE SCIENCE LAB,F&E,PNS,PNS,PNS,PNS,100000,100000.00,0.00,DSF0001083945
26,Q172,J.H.S. 172 - QUEENS,DIIT - RESOA,FY26 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,192000.00,0.00,DSF0001163889
26,Q172,J.H.S. 172 - QUEENS,DOE - RESOA,FY23 RESO A SUPPLEMENTAL COOLING,Construction,PNS,PNS,PNS,PNS,DOER,400000.00,0.00,DSF0001035940
26,Q172,J.H.S. 172 - QUEENS,DOE - RESOA,FY25 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,500000.00,0.00,DSF0001113061
26,Q172,J.H.S. 172 - QUEENS,DOE - Skilled Trades,ACE STEAM SYSTEM OPTIMIZATION,Construction,In-Progress,3/2/2016,DOES,,DOES,56232.00,0.00,DSF0000813679
26,Q172,J.H.S. 172 - QUEENS,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,Complete,9/18/2024,DOES,11/20/2024,DOES,65832.00,7745.00,DSF0001084814
26,Q172,J.H.S. 172 - QUEENS,DOE - Skilled Trades,CAFETERIA ENHANCEMENT EXPERIENCE,Construction,In-Progress,5/2/2024,DOES,,DOES,741164.00,0.00,DSF0001085752
26,Q173,P.S. 173 - QUEENS,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY,Scope,Complete,6/16/2021,12/15/2021,11/4/2021,63240,154878.00,154878.00,"DSF0000997675, DSF0001023540, DSF0001023542"
26,Q173,P.S. 173 - QUEENS,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY,Design,Complete,11/18/2021,6/30/2022,4/18/2022,316200,319180.00,319180.00,"DSF0000997675, DSF0001023540, DSF0001023542"
26,Q173,P.S. 173 - QUEENS,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY,Construction,In-Progress,7/15/2022,4/4/2024,,7114500,6519731.00,5410245.00,"DSF0000997675, DSF0001023540, DSF0001023542"
26,Q173,P.S. 173 - QUEENS,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY,"CM,F&E",In-Progress,7/15/2022,4/4/2024,,443909,479436.00,467739.00,"DSF0000997675, DSF0001023540, DSF0001023542"
26,Q173,P.S. 173 - QUEENS,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,4/23/2025,8/22/2025,5/2/2025,4406,1655.00,1655.00,DSF0001087529
26,Q173,P.S. 173 - QUEENS,SCA CIP,IPDVS INSTALLATIONS,Design,In-Progress,5/2/2025,10/29/2025,,17623,17623.00,6619.00,DSF0001087529
26,Q173,P.S. 173 - QUEENS,SCA CIP,IPDVS INSTALLATIONS,Construction,PNS,PNS,PNS,PNS,253330,253330.00,0.00,DSF0001087529
26,Q173,P.S. 173 - QUEENS,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",PNS,PNS,PNS,PNS,64985,64985.00,2413.00,DSF0001087529
26,Q173,P.S. 173 - QUEENS,SCA CIP RESOA,RESO A ELECTRICAL UPGRADE,Scope,In-Progress,5/5/2025,9/5/2025,,0,1487.00,1487.00,DSF0001113973
26,Q173,P.S. 173 - QUEENS,SCA CIP RESOA,RESO A ELECTRICAL UPGRADE,Design,PNS,PNS,PNS,PNS,3000,5947.00,5947.00,DSF0001113973
26,Q173,P.S. 173 - QUEENS,SCA CIP RESOA,RESO A ELECTRICAL UPGRADE,Construction,PNS,PNS,PNS,PNS,44000,44000.00,0.00,DSF0001113973
26,Q173,P.S. 173 - QUEENS,SCA CIP RESOA,RESO A ELECTRICAL UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,3000,3000.00,0.00,DSF0001113973
26,Q173,P.S. 173 - QUEENS,SCA IEH,PO18-77/26Q173/TEST PIPE INSULATION ON  LEAKING WASTE LINE ROOM 1007 IF POSITIVE ABATE AND  EXPOSE L,Construction,In-Progress,9/9/2025,IEH,,IEH,750.00,0.00,SCA0000074897
26,Q173,P.S. 173 - QUEENS,DIIT - RESOA,FY25 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,3/14/2025,DIIR,5/20/2025,DIIR,400000.00,400000.00,DSF0001113063
26,Q173,P.S. 173 - QUEENS,DOE - RESOA,FY21 RESO A AUDITORIUM UPGRADE,Construction,In-Progress,2/1/2022,DOER,,DOER,96296.00,0.00,DSF0001008076
26,Q173,P.S. 173 - QUEENS,DOE - RESOA,RESO A BATHROOM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,197000.00,0.00,DSF0001074329
26,Q173,P.S. 173 - QUEENS,DOE - RESOA,FY25 RESO A BATHROOM UPGRADES,Construction,PNS,PNS,PNS,PNS,DOER,500000.00,0.00,DSF0001113062
26,Q173,P.S. 173 - QUEENS,DOE - Skilled Trades,BROKEN WATER MAIN,Construction,In-Progress,3/22/2019,DOES,,DOES,99248.00,0.00,DSF0000912546
26,Q177,Q177 SPED - QUEENS,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Scope,Complete,10/15/2015,3/21/2016,12/31/2015,122396,132963.00,132962.00,"DSF0000798293, DSF0000790486"
26,Q177,Q177 SPED - QUEENS,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Design,Complete,1/6/2016,6/7/2016,6/24/2016,480196,554257.00,549191.00,"DSF0000798293, DSF0000790486"
26,Q177,Q177 SPED - QUEENS,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Construction,In-Progress,10/17/2016,4/9/2018,,8161174,8116966.00,7795967.00,"DSF0000798293, DSF0000790486"
26,Q177,Q177 SPED - QUEENS,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,"CM,F&E",In-Progress,10/17/2016,4/9/2018,,693216,812392.00,807326.00,"DSF0000798293, DSF0000790486"
26,Q177,Q177 SPED - QUEENS,SCA CIP,IDA FLOOD ELIMINATION / IDA WASTE SYSTEMS / IDA INTERIOR SPACES / IDA FIRE ALARM SYSTEM / IDA MECHANICAL PIPING,Scope,Complete,1/20/2022,5/23/2022,8/5/2022,129466,198738.00,147578.00,"SCA0000070747, DSF0001129908, DSF0001113833, DSF0001113834, DSF0001129907"
26,Q177,Q177 SPED - QUEENS,SCA CIP,IDA FLOOD ELIMINATION / IDA WASTE SYSTEMS / IDA INTERIOR SPACES / IDA FIRE ALARM SYSTEM / IDA MECHANICAL PIPING,Design,In-Progress,11/20/2024,5/27/2025,,596722,596722.00,178427.00,"SCA0000070747, DSF0001129908, DSF0001113833, DSF0001113834, DSF0001129907"
26,Q177,Q177 SPED - QUEENS,SCA CIP,IDA FLOOD ELIMINATION / IDA WASTE SYSTEMS / IDA INTERIOR SPACES / IDA FIRE ALARM SYSTEM / IDA MECHANICAL PIPING,Construction,PNS,PNS,PNS,PNS,10639214,10639214.00,10349.00,"SCA0000070747, DSF0001129908, DSF0001113833, DSF0001113834, DSF0001129907"
26,Q177,Q177 SPED - QUEENS,SCA CIP,IDA FLOOD ELIMINATION / IDA WASTE SYSTEMS / IDA INTERIOR SPACES / IDA FIRE ALARM SYSTEM / IDA MECHANICAL PIPING,"CM,F&E",PNS,PNS,PNS,PNS,1171037,1171037.00,36716.00,"SCA0000070747, DSF0001129908, DSF0001113833, DSF0001113834, DSF0001129907"
26,Q177,Q177 SPED - QUEENS,SCA CIP RESOA,FY23 RESO A CAFETERIA UPGRADE,Scope,Complete,1/30/2023,5/31/2023,7/1/2024,0,28924.00,28924.00,DSF0001035945
26,Q177,Q177 SPED - QUEENS,SCA CIP RESOA,FY23 RESO A CAFETERIA UPGRADE,Design,In-Progress,7/8/2024,11/21/2024,,87061,84263.00,54975.00,DSF0001035945
26,Q177,Q177 SPED - QUEENS,SCA CIP RESOA,FY23 RESO A CAFETERIA UPGRADE,Construction,PNS,PNS,PNS,PNS,1276900,1276900.00,58835.00,DSF0001035945
26,Q177,Q177 SPED - QUEENS,SCA CIP RESOA,FY23 RESO A CAFETERIA UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,87061,87061.00,62389.00,DSF0001035945
26,Q177,Q177 SPED - QUEENS,SCA CIP RESOA,FY24 RESO A PLAYGROUND UPGRADE,Scope,Complete,2/15/2024,5/15/2024,10/30/2024,0,18595.00,18595.00,DSF0001086899
26,Q177,Q177 SPED - QUEENS,SCA CIP RESOA,FY24 RESO A PLAYGROUND UPGRADE,Design,Complete,11/12/2024,4/1/2025,5/7/2025,57000,62169.00,57568.00,DSF0001086899
26,Q177,Q177 SPED - QUEENS,SCA CIP RESOA,FY24 RESO A PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,836000,836000.00,5807.00,DSF0001086899
26,Q177,Q177 SPED - QUEENS,SCA CIP RESOA,FY24 RESO A PLAYGROUND UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,57000,57000.00,13362.00,DSF0001086899
26,Q177,Q177 SPED - QUEENS,SCA CIP RESOA,PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,Scope,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001113650
26,Q177,Q177 SPED - QUEENS,SCA CIP RESOA,PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,Design,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001113650
26,Q177,Q177 SPED - QUEENS,SCA CIP RESOA,PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001113650
26,Q177,Q177 SPED - QUEENS,SCA CIP RESOA,PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001113650
26,Q177,Q177 SPED - QUEENS,SCA Emergency Response,EMR PROTECTIVE MEASURES - IDA,Construction,In-Progress,9/3/2021,EMER,,EMER,4487808.00,4241977.00,SCA0000070463
26,Q177,Q177 SPED - QUEENS,DIIT - RESOA,FY09 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,500.00,0.00,DSF0000622617
26,Q177,Q177 SPED - QUEENS,DOE - RESOA,FY19 RESO A GYMNASIUM UPGRADE,Construction,In-Progress,4/3/2024,DOER,,DOER,579203.00,0.00,DSF0000890899
26,Q177,Q177 SPED - QUEENS,DOE - RESOA,RESO A ROOM CONVERSION,Construction,PNS,PNS,PNS,PNS,DOER,82500.00,0.00,DSF0001112250
26,Q177,Q177 SPED - QUEENS,DOE - RESOA,FY25 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,600000.00,0.00,DSF0001113069
26,Q177,Q177 SPED - QUEENS,DOE - RESOA,FY25 RESO A BATHROOM UPGRADES,Construction,PNS,PNS,PNS,PNS,DOER,350000.00,0.00,DSF0001113070
26,Q177,Q177 SPED - QUEENS,DOE - RESOA,FY25 RESO A ROOM CONVERSION,Construction,PNS,PNS,PNS,PNS,DOER,600000.00,0.00,DSF0001113071
26,Q177,Q177 SPED - QUEENS,DOE - RESOA,FY25 RESO A ELECTRICAL UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,75000.00,0.00,DSF0001113814
26,Q177,Q177 SPED - QUEENS,DOE - RESOA,FY25 RESO A INTERIOR SPACES,Construction,PNS,PNS,PNS,PNS,DOER,200000.00,0.00,DSF0001113815
26,Q178,P.S. 178 - QUEENS,SCA IEH,PO18-77/26Q178/ 9X9 TILE COMING UOT OUTSIDE CAFFETERIA IN HALLWAY APPROX.16 SQ FT LOSE AND COMING UP,Construction,Complete,3/18/2025,IEH,5/19/2025,IEH,43757.00,2413.00,SCA0000074070
26,Q178,P.S. 178 - QUEENS,DIIT - RESOA,FY22 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,100000.00,0.00,DSF0001033841
26,Q178,P.S. 178 - QUEENS,DIIT - RESOA,FY25 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,4/24/2025,DIIR,7/14/2025,DIIR,150000.00,150000.00,DSF0001113072
26,Q178,P.S. 178 - QUEENS,DOE - RESOA,FY20 RESO A LIBRARY UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,100000.00,0.00,DSF0000913420
26,Q178,P.S. 178 - QUEENS,DOE - RESOA,FY23 RESO A SCIENCE LAB UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,250000.00,0.00,DSF0001035947
26,Q179,Q004 SPED - QUEENS,SCA CIP,ROOFS,Scope,Complete,6/18/2024,11/4/2024,10/4/2024,71790,109339.00,106704.00,DSF0001074430
26,Q179,Q004 SPED - QUEENS,SCA CIP,ROOFS,Design,Complete,10/16/2024,3/21/2025,2/19/2025,335020,308700.00,308700.00,DSF0001074430
26,Q179,Q004 SPED - QUEENS,SCA CIP,ROOFS,Construction,In-Progress,9/15/2025,9/4/2027,,5312460,4866215.00,32290.00,DSF0001074430
26,Q179,Q004 SPED - QUEENS,SCA CIP,ROOFS,"CM,F&E",In-Progress,9/15/2025,9/4/2027,,526460,42331.00,42331.00,DSF0001074430
26,Q179,Q004 SPED - QUEENS,DOE - RESOA,RESO A SUPPLEMENTAL COOLING,Construction,PNS,PNS,PNS,PNS,DOER,281961.00,0.00,DSF0001111925
26,Q179,Q004 SPED - QUEENS,DOE - RESOA,RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,50000.00,0.00,DSF0001112323
26,Q179,Q004 SPED - QUEENS,DOE - RESOA,FY25 RESO A ROOM CONVERSION,Construction,PNS,PNS,PNS,PNS,DOER,150000.00,0.00,DSF0001113073
26,Q179,Q004 SPED - QUEENS,DOE - RESOA,RESO A ROOM CONVERSION,Construction,PNS,PNS,PNS,PNS,DOER,50000.00,0.00,DSF0001113724
26,Q186,P.S. 186 - QUEENS,SCA CIP,ELECTRIFICATION/HEAT PUMP SYSTEMS / ELECTRICAL SERVICE UPGRADE,Scope,Complete,11/15/2024,4/18/2025,1/22/2025,267615,144849.00,143944.00,"DSF0001034486, DSF0001036331"
26,Q186,P.S. 186 - QUEENS,SCA CIP,ELECTRIFICATION/HEAT PUMP SYSTEMS / ELECTRICAL SERVICE UPGRADE,Design,Complete,1/22/2025,10/15/2025,4/9/2025,1248872,571876.00,554987.00,"DSF0001034486, DSF0001036331"
26,Q186,P.S. 186 - QUEENS,SCA CIP,ELECTRIFICATION/HEAT PUMP SYSTEMS / ELECTRICAL SERVICE UPGRADE,Construction,PNS,PNS,PNS,PNS,19803554,19803554.00,76094.00,"DSF0001034486, DSF0001036331"
26,Q186,P.S. 186 - QUEENS,SCA CIP,ELECTRIFICATION/HEAT PUMP SYSTEMS / ELECTRICAL SERVICE UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,1962514,1962514.00,169215.00,"DSF0001034486, DSF0001036331"
26,Q186,P.S. 186 - QUEENS,SCA IEH,PO18-ABATE FUEL OIL PIPE INSULATION FOR BOILER CONVERSION LOCATION IS MARKED AT BOILER AND PUMP SET,Construction,Complete,2/25/2025,IEH,6/20/2025,IEH,1250.00,0.00,SCA0000073977
26,Q186,Q224 SPED - QUEENS,DIIT - RESOA,RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,175000.00,0.00,DSF0001114103
26,Q186,P.S. 186 - QUEENS,DIIT - RESOA,FY26 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,123000.00,0.00,DSF0001163947
26,Q186,Q224 SPED - QUEENS,DOE - RESOA,FY21 RESO A GYMNASIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,50000.00,0.00,DSF0001008045
26,Q186,P.S. 186 - QUEENS,DOE - RESOA,FY23 RESO A AUDITORIUM UPGRADE,Construction,In-Progress,3/5/2024,DOER,,DOER,47308.00,0.00,DSF0001035951
26,Q186,Q224 SPED - QUEENS,DOE - RESOA,FY23 RESO A GYMNASIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,275000.00,0.00,DSF0001035952
26,Q188,P.S. 188 - QUEENS,SCA Capacity,ADDITION,Scope,In-Progress,6/16/2025,11/21/2025,,1109630,1109630.00,29799.00,DSF0001112258
26,Q188,P.S. 188 - QUEENS,SCA Capacity,ADDITION,Design,PNS,PNS,PNS,PNS,4438518,4438518.00,24378.00,DSF0001112258
26,Q188,P.S. 188 - QUEENS,SCA Capacity,ADDITION,Construction,PNS,PNS,PNS,PNS,61307037,61307037.00,55062.00,DSF0001112258
26,Q188,P.S. 188 - QUEENS,SCA Capacity,ADDITION,"CM,Art,F&E",PNS,PNS,PNS,PNS,8044815,8044815.00,98487.00,DSF0001112258
26,Q188,P.S. 188 - QUEENS,SCA CIP,DEMOLITION,Scope,Complete,6/23/2025,6/23/2025,6/23/2025,39956,97.00,97.00,DSF0001112258
26,Q188,P.S. 188 - QUEENS,SCA CIP,DEMOLITION,Design,In-Progress,6/24/2025,12/17/2025,,186462,186462.00,389.00,DSF0001112258
26,Q188,P.S. 188 - QUEENS,SCA CIP,DEMOLITION,Construction,PNS,PNS,PNS,PNS,2956750,2956750.00,0.00,DSF0001112258
26,Q188,P.S. 188 - QUEENS,SCA CIP,DEMOLITION,"CM,F&E",PNS,PNS,PNS,PNS,293011,293011.00,2080.00,DSF0001112258
26,Q188,P.S. 188 - QUEENS,SCA IEH,PO18-77/26Q188/TEST PIPE INSULATION IN BASEMENT MARKED BROWN IF POSITIVE ABATE PAST EACH PIPE JOINT,Construction,Complete,8/25/2025,IEH,9/23/2025,IEH,10900.00,524.00,SCA0000074837
26,Q188,P.S. 188 - QUEENS,DIIT - RESOA,FY25 RESO A TECHNOLOGY UPGRADE,Purch & Install,In-Progress,4/24/2025,DIIR,,DIIR,100000.00,100000.00,DSF0001113076
26,Q188,P.S. 188 - QUEENS,DIIT - RESOA,FY26 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,300000.00,0.00,DSF0001163948
26,Q188,P.S. 188 - QUEENS,DOE - RESOA,FY23 RESO A CAFETERIA UPGRADE,Construction,In-Progress,8/29/2023,DOER,,DOER,816004.00,0.00,DSF0001035953
26,Q188,P.S. 188 - QUEENS,DOE - RESOA,RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,42948.00,0.00,DSF0001111894
26,Q191,P.S. 191 - QUEENS,SCA IEH,PO18-ABATE FUEL OIL PIPE INSULATION FOR BOILER CONVERSION LOCATION IS MARKED AT BOILER AND PUMP SET,Construction,Complete,2/25/2025,IEH,6/20/2025,IEH,1722.00,472.00,SCA0000073972
26,Q191,P.S. 191 - QUEENS,DIIT - Project Connect,"DATA/VOICE & WIRELESS NETWORK CABLE WIRING, NETWORK SERVER EQUIPMENT, DATA/VOICE & WIRELESS NETWORK",Purch & Install,In-Progress,2/6/2009,DIIT,,DIIT,261220.00,0.00,DSF0000800170
26,Q191,Q993 SPED - QUEENS,DIIT - RESOA,FY20 RESO A TECHNOLOGY UPGRADE,Purch & Install,In-Progress,3/14/2021,DIIR,,DIIR,50000.00,0.00,DSF0000914040
26,Q191,Q993 SPED - QUEENS,DIIT - RESOA,FY21 RESO A TECHNOLOGY UPGRADE,Purch & Install,In-Progress,3/14/2021,DIIR,,DIIR,50000.00,0.00,DSF0001008057
26,Q191,Q993 SPED - QUEENS,DIIT - RESOA,FY22 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,60000.00,0.00,DSF0001033955
26,Q191,Q993 SPED - QUEENS,DIIT - RESOA,FY24 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,113000.00,0.00,DSF0001086467
26,Q191,P.S. 191 - QUEENS,DIIT - RESOA,FY25 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,3/21/2025,DIIR,5/20/2025,DIIR,100000.00,100000.00,DSF0001113077
26,Q191,P.S. 191 - QUEENS,DOE - RESOA,FY23 RESO A PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,210000.00,0.00,DSF0001035960
26,Q191,Q993 SPED - QUEENS,DOE - RESOA,FY26 RESO A SUPPLEMENTAL COOLING,Construction,PNS,PNS,PNS,PNS,DOER,350000.00,0.00,DSF0001163951
26,Q203,P.S. 203 - QUEENS,SCA CIP,WINDOWS,Scope,Complete,12/22/2017,5/10/2018,3/2/2018,58200,79294.00,79294.00,DSF0000880739
26,Q203,P.S. 203 - QUEENS,SCA CIP,WINDOWS,Design,Complete,3/14/2018,8/13/2018,5/14/2018,232800,327466.00,285760.00,DSF0000880739
26,Q203,P.S. 203 - QUEENS,SCA CIP,WINDOWS,Construction,In-Progress,7/23/2018,10/15/2019,,4365000,5100468.00,3508382.00,DSF0000880739
26,Q203,P.S. 203 - QUEENS,SCA CIP,WINDOWS,"CM,F&E",In-Progress,7/23/2018,10/15/2019,,271600,760973.00,713716.00,DSF0000880739
26,Q203,P.S. 203 - QUEENS,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Scope,Complete,6/27/2019,11/29/2019,8/23/2019,65750,74244.00,74244.00,"DSF0000912539, DSF0000897780"
26,Q203,P.S. 203 - QUEENS,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Design,Complete,9/10/2019,2/13/2020,12/20/2019,328750,363880.00,345853.00,"DSF0000912539, DSF0000897780"
26,Q203,P.S. 203 - QUEENS,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Construction,In-Progress,10/10/2022,10/8/2024,,7396875,6743297.00,4989281.00,"DSF0000912539, DSF0000897780"
26,Q203,P.S. 203 - QUEENS,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,"CM,F&E",In-Progress,10/10/2022,10/8/2024,,461282,585060.00,543550.00,"DSF0000912539, DSF0000897780"
26,Q203,P.S. 203 - QUEENS,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,9/20/2024,1/24/2025,9/24/2024,3404,2786.00,2786.00,DSF0001087534
26,Q203,P.S. 203 - QUEENS,SCA CIP,IPDVS INSTALLATIONS,Design,Complete,9/24/2024,3/25/2025,3/26/2025,15320,11147.00,11147.00,DSF0001087534
26,Q203,P.S. 203 - QUEENS,SCA CIP,IPDVS INSTALLATIONS,Construction,In-Progress,8/12/2025,6/7/2026,,197455,190992.00,11522.00,DSF0001087534
26,Q203,P.S. 203 - QUEENS,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",In-Progress,8/12/2025,6/7/2026,,40861,23134.00,10027.00,DSF0001087534
26,Q203,P.S. 203 - QUEENS,DOE - RESOA,FY20 RESO A AUDITORIUM UPGRADE,Construction,In-Progress,3/3/2020,DOER,,DOER,263679.00,0.00,DSF0000913426
26,Q203,P.S. 203 - QUEENS,DOE - RESOA,FY25 RESO A STEM LAB,Construction,PNS,PNS,PNS,PNS,DOER,400000.00,0.00,DSF0001113089
26,Q205,P.S. 205 - QUEENS,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,3/1/2023,6/29/2023,3/3/2023,3700,7695.00,7695.00,DSF0001034588
26,Q205,P.S. 205 - QUEENS,SCA CIP,IPDVS INSTALLATIONS,Design,Complete,3/3/2023,8/28/2023,5/3/2023,16650,30781.00,30781.00,DSF0001034588
26,Q205,P.S. 205 - QUEENS,SCA CIP,IPDVS INSTALLATIONS,Construction,Complete,10/2/2023,7/27/2024,6/12/2025,214600,200569.00,175465.00,DSF0001034588
26,Q205,P.S. 205 - QUEENS,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",Complete,10/2/2023,7/27/2024,6/12/2025,158816,158012.00,95112.00,DSF0001034588
26,Q205,P.S. 205 - QUEENS,SCA IEH,PO18-ABATEMENT OF TAR RADIATOR COVERS AND WHITE AIRCELL PIPE INSULATION IN ROOM 218,Construction,In-Progress,2/12/2024,IEH,,IEH,668.00,93.00,SCA0000072726
26,Q205,P.S. 205 - QUEENS,SCA Furniture & Equipment,FY23 RESO A MOBILE SCIENCE LAB,F&E,Complete,2/21/2025,,4/30/2025,372000,372000.00,310573.00,DSF0001035339
26,Q205,Q224 SPED - QUEENS,Fast Track Projects,PATH OF TRAVEL CTF ROOM CONVERSION,Construction,In-Progress,2/6/2025,FTK,,FTK,179548.00,127400.00,DSF0001083873
26,Q205,P.S. 205 - QUEENS,DOE - RESOA,FY22 RESO A SCIENCE LAB UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,100000.00,0.00,DSF0001033858
26,Q205,Q224 SPED - QUEENS,DOE - RESOA,FY22 RESO A GYMNASIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,105991.00,0.00,DSF0001033872
26,Q208,P.S./I.S. 208 - QUEENS,SCA CIP,PLAYGROUND REDEVELOPMENT,Scope,Complete,6/11/2024,9/11/2024,10/18/2024,22940,140444.00,128107.00,DSF0001112242
26,Q208,P.S./I.S. 208 - QUEENS,SCA CIP,PLAYGROUND REDEVELOPMENT,Design,In-Progress,10/21/2024,3/11/2025,,107054,274569.00,225745.00,DSF0001112242
26,Q208,P.S./I.S. 208 - QUEENS,SCA CIP,PLAYGROUND REDEVELOPMENT,Construction,PNS,PNS,PNS,PNS,1697567,1697567.00,94346.00,DSF0001112242
26,Q208,P.S./I.S. 208 - QUEENS,SCA CIP,PLAYGROUND REDEVELOPMENT,"CM,F&E",PNS,PNS,PNS,PNS,168227,168227.00,21461.00,DSF0001112242
26,Q208,P.S./I.S. 208 - QUEENS,SCA CIP,PATH OF TRAVEL PLAYGROUND REDEVELOPMENT,Scope,Complete,12/4/2024,3/7/2025,1/27/2025,2531,2217.00,2217.00,DSF0001113871
26,Q208,P.S./I.S. 208 - QUEENS,SCA CIP,PATH OF TRAVEL PLAYGROUND REDEVELOPMENT,Design,In-Progress,1/28/2025,5/28/2025,,10124,24566.00,20845.00,DSF0001113871
26,Q208,P.S./I.S. 208 - QUEENS,SCA CIP,PATH OF TRAVEL PLAYGROUND REDEVELOPMENT,Construction,PNS,PNS,PNS,PNS,145527,145527.00,0.00,DSF0001113871
